id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,1,,Sanity,1
,,,,,,,,,,,,,,,,,,,,2,,Create Trivia Game,1
,,,,,,,,,,,,,,,,,,,,3,,Playing The Trivia Game,1
,,,,,,,,,,,,,,,,,,,,10,,Results,1
1,Sanity,,,,,undefined,normal,smoke,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Type ""Yes"" in 1st answer field
6. Type ""No"" in 2nd answer field
7. Type ""Maybe"" in 3rd answer field
8. Type ""Nobody knows"" in 4th answer field
9. Mark the radio button next to the 1st answer (""Yes"")
10. Click on ""next""
11. Fill in ""How many wheels does a car have?""
12. Click ""next""
13. Type ""1"" in 1st answer field
14. Type ""2"" in 1st answer field
15. Type ""3"" in 1st answer field
16. Type ""4"" in 1st answer field
17. Mark the radio button next to the 4th answer (""4"")
18. Click ""next""
19. Fill in ""What is the color of a tomato?"" in 3rd question field
20. Click ""next""
21. Type ""Green"" in 1st answer field
22. Type ""Blue"" in 2nd answer field
23. Type ""Red"" in 3rd answer field
24. Type ""Yellow"" in 4th answer field
25. Mark the radio button next to the 3rd answer (""Red"")
26. Click ""next""
27. Click ""play""
28. Click on radio button next to the 3rd question ""Red""
29. Click ""next""
30. Mark the radio button next to the 4th answer (""4"")
31. Click ""next""
32. Click on radio button next to the 1st question ""Yes""
33. Click ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. ""Yes"" appears in 1st answer field
6. ""No"" appears in 2nd answer field
7. ""Maybe"" appears in 3rd answer field
8. ""Nobody"" appears in 4th answer field
9. Radio button next to 1st answer (""Yes"") turns blue
10. 2nd question page appears
11. ""How many wheels does a car have?"" appears in 2nd question field
12. Web page appears : ""Please type here your question :
question number: 2""
13. ""1"" appears in 1st answer field
14. ""2"" appears in 2nd answer field
15. ""3"" appears in 3rd answer field
16. ""4"" appears in 4th answer field
17. Radio button next to 4th answer (""4"") turns blue
18. 3rd question page appears
19. ""What is the color of a tomato?"" appears in 3rd question field
20. Web page appears: ""Please type here your question :
question number: 3""
21. ""Green"" appears in 1st answer field
22. ""Blue"" appears in 2nd answer field
23. ""Red"" appears in 3rd answer field
24. ""Yellow"" appears in 4th answer field
25. Radio button next to 3rd answer (""Red"") turns blue
26. ""You finished to build the test - lets play!!"" Appears on next page
27. Test page with question ""What is the color of a tomato?"" with answers: ""Red"", ""Green"", ""Blue"", ""Yellow"" appears
28. Radio button next to 3rd answer (""Red"") turns blue
29. Test page with question ""How many wheels does a car have?""?"" with answers: ""1"", ""2"", ""3"", ""4"" appears
30. Radio button next to 4th answer (""4"") turns blue
31. Test page with question ""Do cats usually land on their feet?"" with answers: ""Yes"", ""No"", ""Maybe"", ""Nobody knows"" appears
32. Radio button next to 1st answer (""Yes"") turns blue
33. \*Result page with ""Success"" appears
\*Facebook share button appears
\*""Try again"" and ""Quit"" buttons appear
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15. 
16. 
17. 
18. 
19. 
20. 
21. 
22. 
23. 
24. 
25. 
26. 
27. 
28. 
29. 
30. 
31. 
32. 
33. 
",,,1,,Sanity,
3,"Functionality - ""Back"" button in question page",,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Press on ""Back"" button
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. 1st question page appears with the question ""Do cats usually land on their feet?""
","1. 
2. 
3. 
4. 
5. 
",,,2,,Create Trivia Game,
4,"Functionality - ""Back"" button in answer page",,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Type ""Yes"" in 1st answer field
6. Type ""No"" in 2nd answer field
7. Type ""Maybe"" in 3rd answer field
8. Type ""Nobody knows"" in 4th answer field
9. Mark the radio button next to the 1st answer (""Yes"")
10. Click on ""next""
11. Fill in ""How many wheels does a car have?""
12. Click ""next""
13. Type ""1"" in 1st answer field
14. Type ""2"" in 1st answer field
15. Type ""3"" in 1st answer field
16. Type ""4"" in 1st answer field
17. Mark the radio button next to the 4th answer (""4"")
18. Click ""next""
19. Fill in ""What is the color of a tomato?"" in 3rd question field
20. Click ""next""
21. Type ""Green"" in 1st answer field
22. Type ""Blue"" in 2nd answer field
23. Type ""Red"" in 3rd answer field
24. Type ""Yellow"" in 4th answer field
25. Mark the radio button next to the 3rd answer (""Red"")
26. Click ""next""
27. Click ""play""
28. Click on radio button next to the 3rd question ""Red""
29. Click ""next""
30. Mark the radio button next to the 4th answer (""4"")
31. Click ""next""
32. Click on radio button next to the 1st question ""Yes""
33. Click ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. ""Yes"" appears in 1st answer field
6. ""No"" appears in 2nd answer field
7. ""Maybe"" appears in 3rd answer field
8. ""Nobody"" appears in 4th answer field
9. Radio button next to 1st answer (""Yes"") turns blue
10. 2nd question page appears
11. ""How many wheels does a car have?"" appears in 2nd question field
12. Web page appears : ""Please type here your question :
question number: 2""
13. ""1"" appears in 1st answer field
14. ""2"" appears in 2nd answer field
15. ""3"" appears in 3rd answer field
16. ""4"" appears in 4th answer field
17. Radio button next to 4th answer (""4"") turns blue
18. 3rd question page appears
19. ""What is the color of a tomato?"" appears in 3rd question field
20. Web page appears: ""Please type here your question :
question number: 3""
21. ""Green"" appears in 1st answer field
22. ""Blue"" appears in 2nd answer field
23. ""Red"" appears in 3rd answer field
24. ""Yellow"" appears in 4th answer field
25. Radio button next to 3rd answer (""Red"") turns blue
26. ""You finished to build the test - lets play!!"" Appears on next page
27. Test page with question ""What is the color of a tomato?"" with answers: ""Red"", ""Green"", ""Blue"", ""Yellow"" appears
28. Radio button next to 3rd answer (""Red"") turns blue
29. Test page with question ""How many wheels does a car have?""?"" with answers: ""1"", ""2"", ""3"", ""4"" appears
30. Radio button next to 4th answer (""4"") turns blue
31. Test page with question ""Do cats usually land on their feet?"" with answers: ""Yes"", ""No"", ""Maybe"", ""Nobody knows"" appears
32. Radio button next to 1st answer (""Yes"") turns blue
33. \*Result page with ""Success"" appears
\*Facebook share button appears
\*""Try again"" and ""Quit"" buttons appear
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15. 
16. 
17. 
18. 
19. 
20. 
21. 
22. 
23. 
24. 
25. 
26. 
27. 
28. 
29. 
30. 
31. 
32. 
33. 
",,,2,,Create Trivia Game,
10,BV - 1 character in question field,,,,,undefined,normal,other,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""A"" in 1st question field
4. Click ""next""
5. Type ""Yes"" in 1st answer field
6. Type ""No"" in 2nd answer field
7. Type ""Maybe"" in 3rd answer field
8. Type ""Nobody knows"" in 4th answer field
9. Mark the radio button next to the 1st answer (""Yes"")
10. Click on ""next""
11. Fill in ""A"" in 2nd questions field
12. Click ""next""
13. Type ""1"" in 1st answer field
14. Type ""2"" in 2nd answer field
15. Type ""3"" in 3rd answer field
16. Type ""4"" in 4th answer field
17. Mark the radio button next to the 4th answer (""4"")
18. Click ""next""
19. Fill in ""A"" in 3rd question field
20. Click ""next""
21. Type ""Green"" in 1st answer field
22. Type ""Blue"" in 2nd answer field
23. Type ""Red"" in 3rd answer field
24. Type ""Yellow"" in 4th answer field
25. Mark the radio button next to the 3rd answer (""Red"")
26. Click ""next""
27. Click ""play""
28. Click on radio button next to the 3rd question ""Red""
29. Click ""next""
30. Mark the radio button next to the 4th answer (""4"")
31. Click ""next""
32. Click on radio button next to the 1st question ""Yes""
33. Click ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""A"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. ""Yes"" appears in 1st answer field
6. ""No"" appears in 2nd answer field
7. ""Maybe"" appears in 3rd answer field
8. ""Nobody"" appears in 4th answer field
9. Radio button next to 1st answer (""Yes"") turns blue
10. 2nd question page appears
11. ""A"" appears in 2nd question field
12. Web page appears : ""Please type here your question :
question number: 2""
13. ""1"" appears in 1st answer field
14. ""2"" appears in 2nd answer field
15. ""3"" appears in 3rd answer field
16. ""4"" appears in 4th answer field
17. Radio button next to 4th answer (""4"") turns blue
18. 3rd question page appears
19. ""A"" appears in 3rd question field
20. Web page appears: ""Please type here your question :
question number: 3""
21. ""Green"" appears in 1st answer field
22. ""Blue"" appears in 2nd answer field
23. ""Red"" appears in 3rd answer field
24. ""Yellow"" appears in 4th answer field
25. Radio button next to 3rd answer (""Red"") turns blue
26. ""You finished to build the test - lets play!!"" Appears on next page
27. Test page with question ""A"" with answers: ""Red"", ""Green"", ""Blue"", ""Yellow"" appears
28. Radio button next to 3rd answer (""Red"") turns blue
29. Test page with question ""A"" with answers: ""1"", ""2"", ""3"", ""4"" appears
30. Radio button next to 4th answer (""4"") turns blue
31. Test page with question ""A"" with answers: ""Yes"", ""No"", ""Maybe"", ""Nobody knows"" appears
32. Radio button next to 1st answer (""Yes"") turns blue
33. \*Result page with ""Success"" appears
\*Facebook share button appears
\*""Try again"" and ""Quit"" buttons appear
","1. login to https://shemsvcollege.github.io/Trivia/
2. 
3. A
4. 
5. Yes
6. No
7. Maybe
8. Nobody knows
9. 
10. 
11. A
12. 
13. 1
14. 2
15. 3
16. 4
17. 
18. 
19. 
20. 
21. Green
22. Blue
23. Red
24. Yellow
25. 
26. 
27. 
28. 
29. 
30. 
31. 
32. 
33. 
",,,2,,Create Trivia Game,
11,BV - 30 characters in answer field,,,,,undefined,normal,other,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Type ""Nam quis nulla. Integer malesu"" in 1st answer field
6. Type ""Nam quis nulla. Integer malesu"" in 2nd answer field
7. Type ""Nam quis nulla. Integer malesu"" in 3rd answer field
8. Type ""Nam quis nulla. Integer malesu"" in 4th answer field
9. Mark the radio button next to the 1st answer (""Nam quis nulla. Integer malesu"")
10. Click on ""next""
11. Fill in ""How many wheels does a car have?""
12. Click ""next""
13. Type ""Nam quis nulla. Integer malesu"" in 1st answer field
14. Type ""Nam quis nulla. Integer malesu"" in 1st answer field
15. Type ""Nam quis nulla. Integer malesu"" in 1st answer field
16. Type ""Nam quis nulla. Integer malesu"" in 1st answer field
17. Mark the radio button next to the 4th answer (""Nam quis nulla. Integer malesu"")
18. Click ""next""
19. Fill in ""What is the color of a tomato?"" in 3rd question field
20. Click ""next""
21. Type ""Nam quis nulla. Integer malesu"" in 1st answer field
22. Type ""Nam quis nulla. Integer malesu"" in 2nd answer field
23. Type ""Nam quis nulla. Integer malesu"" in 3rd answer field
24. Type ""Nam quis nulla. Integer malesu"" in 4th answer field
25. Mark the radio button next to the 3rd answer (""Nam quis nulla. Integer malesu"")
26. Click ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. ""Nam quis nulla. Integer malesu"" appears in 1st answer field
6. ""Nam quis nulla. Integer malesu"" appears in 2nd answer field
7. ""Nam quis nulla. Integer malesu"" appears in 3rd answer field
8. ""Nam quis nulla. Integer malesu"" appears in 4th answer field
9. Radio button next to 1st answer (""Nam quis nulla. Integer malesu"") turns blue
10. 2nd question page appears
11. ""How many wheels does a car have?"" appears in 2nd question field
12. Web page appears : ""Please type here your question :
question number: 2""
13. ""Nam quis nulla. Integer malesu"" appears in 1st answer field
14. ""Nam quis nulla. Integer malesu"" appears in 2nd answer field
15. ""Nam quis nulla. Integer malesu"" appears in 3rd answer field
16. ""Nam quis nulla. Integer malesu"" appears in 4th answer field
17. Radio button next to 4th answer (""Nam quis nulla. Integer malesu"") turns blue
18. 3rd question page appears
19. ""What is the color of a tomato?"" appears in 3rd question field
20. Web page appears: ""Please type here your question :
question number: 3""
21. ""Nam quis nulla. Integer malesu"" appears in 1st answer field
22. ""Nam quis nulla. Integer malesu"" appears in 2nd answer field
23. ""Nam quis nulla. Integer malesu"" appears in 3rd answer field
24. ""Nam quis nulla. Integer malesu appears in 4th answer field
25. Radio button next to 3rd answer (""Nam quis nulla. Integer malesu"") turns blue
26. ""You finished to build the test - lets play!!"" Appears on next page
","1. https://shemsvcollege.github.io/Trivia/
2. 
3. Do cats usually land on their feet?
4. 
5. Nam quis nulla. Integer malesu
6. Nam quis nulla. Integer malesu
7. Nam quis nulla. Integer malesuNam quis nulla. Integer malesu
8. Nam quis nulla. Integer malesu
9. 
10. 
11. How many wheels does a car have?
12. 
13. Nam quis nulla. Integer malesu
14. Nam quis nulla. Integer malesu
15. Nam quis nulla. Integer malesu
16. Nam quis nulla. Integer malesu
17. 
18. 
19. What is the color of a tomato?
20. 
21. Nam quis nulla. Integer malesu
22. Nam quis nulla. Integer malesu
23. Nam quis nulla. Integer malesu
24. Nam quis nulla. Integer malesu
25. 
26. 
",,,2,,Create Trivia Game,
12,"EH - Click on ""next"" with no answer option chosen",,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next"" button
5. Click ""next"" button
6. Type ""No"" in option number 1 field
7. Type ""Maybe"" in option number 2 field
8. Type ""Yes"" in option number 3 field
9. Type ""Nobody knows"" in option number 4 field
10. Click on ""next"" button
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. Pop up window shows up with message: ""you have to fill all the fields please"" and a ""confirm"" button
6. ""No"" appears in option number 1 field
7. ""Maybe"" appears in option number 2 field
8. ""Yes"" appears in option number 3 field
9. ""Nobody knows"" appears in option number 4 field
10. Pop up window appears with message: ""you have to fill all the fileds please"" and a ""confirm"" button
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
",,,2,,Create Trivia Game,
13,"EH - Click ""next"" with no questions filled in",,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Click ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears: ""Please type here your question :
question number: 1""
5. Nothing happends, can't move forwad
","1. 
2. 
3. 
4. 
5. 
",,,2,,Create Trivia Game,
14,"EH - Click ""next"" with no answers filled in",,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next"" button
5. Click ""next"" button
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. Pop up window shows up with message: ""you have to fill all the fields please"" and a ""confirm"" button
","1. 
2. 
3. 
4. 
5. 
",,,2,,Create Trivia Game,
15,EH - More than 50 notes in question field,,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet if they jump high"" in 1st question field (52 characters)
4. Click ""next"" button
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet if they jump high"" appears in 1st question field
4. The question has been deleted from the question field
","1. 
2. 
3. 
4. 
",,,2,,Create Trivia Game,
16,EH - Question in foreign language,,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""האם חתולים נוחתים בדרך כלל על הרגליים?"" in 1st question field
4. Click ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""האם חתולים נוחתים בדרך כלל על הרגליים?"" appears in 1st question field
4. The question has been deleted from the question field
","1. 
2. 
3. 
4. 
",,,2,,Create Trivia Game,
17,EH - Answer in foreign language,,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Type ""כן"" in 1st answer field
6. Type ""לא"" in 2nd answer field
7. Type ""אולי"" in 3rd answer field
8. Type ""לא יודע"" in 4th answer field
9. Mark the radio button next to the 1st answer (""כן"")
10. Click on ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. ""כן"" appears in 1st answer field
6. ""לא"" appears in 2nd answer field
7. ""אולי"" appears in 3rd answer field
8. ""לא יודע"" appears in 4th answer field
9. Radio button next to 1st answer (""Yes"") turns blue
10. Answers fields will be deleted and would not redirect to next question
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
",,,2,,Create Trivia Game,
18,EH - Open web on a non chrome browser,,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to ""https://shemsvcollege.github.io/Trivia/"" on explorer browser
2. Click on ""start"" button
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open on the explorer browser
2. No option to continue the process - the website is not supported on browsers other than chrome
","1. 
2. 
",,,2,,Create Trivia Game,
19,"EH - Click ""next"" button while less then 4 answers are filled",,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to ""https://shemsvcollege.github.io/Trivia/""
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Type ""Yes"" in 1st answer field
6. Type ""No"" in 2nd answer field
7. Type ""Maybe"" in 3rd answer field
8. Mark the radio button next to the 1st answer (""Yes"")
9. Click on ""next"" button
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. ""Yes"" appears in 1st answer field
6. ""No"" appears in 2nd answer field
7. ""Maybe"" appears in 3rd answer field
8. Radio button next to 1st answer (""Yes"") turns blue
9. Pop up window appears with message: ""you have to fill all the fileds please"" and a ""confirm"" button
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
",,,2,,Create Trivia Game,
20,EH - More than 30 characters in answer field,,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do cats usually land on their feet?"" in 1st question field
4. Click ""next""
5. Type ""Yes, cats usually land on feet!"" in 1st answer field (31 char.)
6. Type ""No"" in 2nd answer field
7. Type ""Maybe"" in 3rd answer field
8. Type ""Nobody knows"" in 4th answer field
9. Mark the radio button next to the 1st answer (""Yes, cats usually land on feet!"")
10. Click on ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do cats usually land on their feet?"" appears in 1st question field
4. Web page appears : ""Please type here your question :
question number: 1""
5. ""Yes, cats usually land on feet!"" appears in 1st answer field
6. ""No"" appears in 2nd answer field
7. ""Maybe"" appears in 3rd answer field
8. ""Nobody"" appears in 4th answer field
9. Radio button next to 1st answer (""Yes"") turns blue
10. System will not allow to continue to next step
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
",,,2,,Create Trivia Game,
21,EH - Use numbers in question field,,,,,undefined,normal,functional,positive,is-not-automated,actual,no,unknown,classic,"1. login to https://shemsvcollege.github.io/Trivia/
2. Click on ""start"" button
3. Fill in ""Do 3 cats usually land on their feet?"" in 1st question field
4. Click ""next""
","1. The main page ""https://shemsvcollege.github.io/Trivia/"" will open
2. 1st question page appears
3. ""Do 3 cats usually land on their feet?"" appears in 1st question field
4. The question will be deleted from the question field
","1. 
2. 
3. 
4. 
",,,2,,Create Trivia Game,
